symbol,name,asset_type,exchange,source,is_etf
NNE,Nano Nuclear Energy Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LKFN,LAKELAND FINANCIAL CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
BY,"BYLINE BANCORP, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
CNOB,"ConnectOne Bancorp, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CNL,Collective Mining Ltd.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PGEN,"PRECIGEN, INC.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
SLVM,Sylvamo Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MBX,"MBX Biosciences, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
SLS,"SELLAS Life Sciences Group, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
DXC,DXC Technology Co,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WKC,WORLD KINECT CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
RLJ,RLJ Lodging Trust,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BHVN,Biohaven Ltd.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
TV,"GRUPO TELEVISA, S.A.B.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
PRGO,PERRIGO Co plc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
GBX,GREENBRIER COMPANIES INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
DV,"DoubleVerify Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
KSS,KOHLS Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
OBK,"Origin Bancorp, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
HLX,HELIX ENERGY SOLUTIONS GROUP INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
RCAT,"Red Cat Holdings, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
KARO,Karooooo Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WLFC,WILLIS LEASE FINANCE CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
EVTC,"EVERTEC, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
AVEX,AEVEX Corp.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
TRS,TRIMAS CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
TNC,TENNANT CO,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WGS,GeneDx Holdings Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ATRC,"AtriCure, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WBI,WaterBridge Infrastructure LLC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ARI,"Apollo Commercial Real Estate Finance, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ARLO,"Arlo Technologies, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
TBLA,Taboola.com Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HLMN,Hillman Solutions Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MAZE,"Maze Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
TTI,TETRA TECHNOLOGIES INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CBL,CBL & ASSOCIATES PROPERTIES INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
NNNN,Anbio Biotechnology,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
BTT,BlackRock Municipal 2030 Target Term Trust,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
PICS,PicS N.V.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
YSWY,"Yesway, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CSWC,CAPITAL SOUTHWEST CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NVGS,Navigator Holdings Ltd.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BCAX,Bicara Therapeutics Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
URGN,UroGen Pharma Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NOMD,Nomad Foods Ltd,stock,NYSE,sec-company-tickers+nasdaq-trader,false
KALV,"KalVista Pharmaceuticals, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
GSHD,"Goosehead Insurance, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AGL,"agilon health, inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
GENI,Genius Sports Ltd,stock,NYSE,sec-company-tickers+nasdaq-trader,false
RYZ,Ryerson Holding Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CRI,CARTERS INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
HBNB,Hotel101 Global Holdings Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AHCO,AdaptHealth Corp.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WLDN,"Willdan Group, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MNSKY,MoneySupermarket.com Group PLC/ADR,stock,OTC,sec-company-tickers,false
LEG,LEGGETT & PLATT INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WEN,Wendy's Co,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LIND,"LINDBLAD EXPEDITIONS HOLDINGS, INC.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NRP,NATURAL RESOURCE PARTNERS LP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ENOV,Enovis CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PBT,PERMIAN BASIN ROYALTY TRUST,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PRG,"PROG Holdings, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
