symbol,name,asset_type,exchange,source,is_etf
AEBZY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,stock,OTC,sec-company-tickers,false
AERO,"Grupo Aeromexico, S.A.B. de C.V.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
NBTB,NBT BANCORP INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MTX,MINERALS TECHNOLOGIES INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PK,Park Hotels & Resorts Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
UAA,"Under Armour, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
HTO,H2O AMERICA,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CLDX,"Celldex Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NZF,Nuveen Municipal Credit Income Fund,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AESI,Atlas Energy Solutions Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BCC,BOISE CASCADE Co,stock,NYSE,sec-company-tickers+nasdaq-trader,false
NGVT,Ingevity Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,stock,NYSE,sec-company-tickers+nasdaq-trader,false
NOG,"NORTHERN OIL & GAS, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
DAC,Danaos Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
ALGT,Allegiant Travel CO,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CXT,"Crane NXT, Co.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
ABM,ABM INDUSTRIES INC /DE/,stock,NYSE,sec-company-tickers+nasdaq-trader,false
DRD,DRDGOLD LTD,stock,NYSE,sec-company-tickers+nasdaq-trader,false
GOF,GUGGENHEIM STRATEGIC OPPORTUNITIES FUND,stock,NYSE,sec-company-tickers+nasdaq-trader,false
TBBK,"Bancorp, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LCID,"Lucid Group, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MH,"McGraw Hill, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
DEI,Douglas Emmett Inc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
BUSE,FIRST BUSEY CORP /NV/,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WIX,Wix.com Ltd.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
POET,POET TECHNOLOGIES INC.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
